time,Area 1,Area 2,Area 3,Area 4,Area 5,Area 6,Area 4,Area 5,Area 6
1,0,1,0,1,1,1,1,1,1
2,0,1,0,1,1,1,1,1,1
3,0,1,0,1,1,1,1,1,1
4,0,1,0,1,1,1,1,1,1
5,0,1,0,1,1,0,1,1,0
6,0,1,0,1,1,0,1,1,0
7,0,1,0,1,1,0,1,1,0
8,0,1,0,1,1,0,1,1,0
9,0,1,0,1,1,0,1,1,0
10,0,1,0,1,0,0,1,0,0
11,0,1,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0
14,0,1,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0
21,1,1,1,0,0,0,0,0,0
22,1,1,1,0,0,0,0,0,0
23,1,1,1,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0
25,1,1,1,0,0,0,0,0,0
26,1,1,1,0,0,0,0,0,0
27,1,1,1,0,0,0,0,0,0
28,1,1,1,0,0,0,0,0,0
29,1,1,1,0,0,0,0,0,0
30,1,1,1,0,0,0,0,0,0
31,1,1,1,0,0,0,0,0,0
32,1,1,1,0,0,0,0,0,0
33,1,1,1,0,0,0,0,0,0
34,1,1,1,0,0,0,0,0,0
35,0,1,1,0,0,0,0,0,0
36,0,1,1,0,0,0,0,0,0
37,0,0,1,0,0,0,0,0,0
38,0,0,1,0,0,0,0,0,0
39,0,0,1,0,0,0,0,0,0
40,0,0,1,0,0,0,0,0,0
41,0,0,1,0,0,0,0,0,0
42,0,0,1,0,0,0,0,0,0
43,0,0,1,0,0,0,0,0,0
44,0,0,1,0,0,0,0,0,0
45,0,0,1,0,0,0,0,0,0
46,0,0,1,0,0,0,0,0,0
47,0,0,1,0,0,0,0,0,0
48,0,0,1,0,0,0,0,0,0
49,0,0,1,0,0,0,0,0,0
50,0,0,1,0,0,0,0,0,0
51,0,0,1,0,0,0,0,0,0
52,0,0,1,0,0,0,0,0,0
53,0,0,1,0,0,0,0,0,0
54,0,0,1,0,0,0,0,0,0
55,0,0,1,0,0,0,0,0,0
56,0,0,1,0,0,0,0,0,0
57,0,0,1,0,0,0,0,0,0
58,0,0,1,0,0,0,0,0,0
59,0,0,1,0,0,0,0,0,0
60,0,0,1,0,0,0,0,0,0
61,0,0,1,0,0,0,0,0,0
62,0,0,1,0,0,0,0,0,0
63,0,0,1,0,0,0,0,0,0
64,1,0,1,0,0,0,0,0,0
65,1,0,1,0,0,0,0,0,0
66,1,0,1,0,0,0,0,0,0
67,1,0,1,0,0,0,0,0,0
68,1,0,1,0,0,0,0,0,0
69,1,0,1,0,0,0,0,0,0
70,1,0,1,0,0,0,0,0,0
71,1,0,1,0,0,0,0,0,0
72,1,0,1,0,0,0,0,0,0
73,1,0,1,0,0,0,0,0,0
74,1,0,1,0,0,0,0,0,0
75,1,0,1,0,0,0,0,0,0
76,1,0,1,0,0,0,0,0,0
77,1,0,1,0,0,0,0,0,0
78,1,0,1,0,0,0,0,0,0
79,1,0,1,0,0,0,0,0,0
80,1,0,1,0,0,0,0,0,0
81,1,0,1,0,0,0,0,0,0
82,1,0,1,0,0,0,0,0,0
83,1,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0,0
85,1,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0
88,1,0,0,0,0,0,0,0,0
89,1,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0
91,1,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0
93,1,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,0,0,0
95,1,0,0,0,0,0,0,0,0
96,1,0,0,0,0,0,0,0,0
97,1,0,0,0,0,0,0,0,0
98,1,0,0,0,0,0,0,0,0
99,1,0,0,0,0,0,0,0,0
100,1,0,0,0,0,0,0,0,0
101,1,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,0
103,1,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,0
105,1,0,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0,0,0
107,1,0,0,0,0,0,0,0,0
108,1,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0
142,0,0,0,0,1,0,0,0,0
143,0,0,0,0,1,0,0,0,0
144,0,0,0,0,1,0,0,0,0
145,0,0,0,0,1,0,0,0,0
146,0,0,0,0,1,0,0,0,0
147,0,0,0,0,1,0,0,0,0
148,0,0,0,0,1,0,0,0,0
149,0,0,0,0,1,0,0,0,0
150,0,0,0,0,1,0,0,0,0
151,0,0,0,0,1,0,0,0,0
152,0,0,0,0,1,0,0,0,0
153,0,0,0,0,1,0,0,0,0
154,0,0,0,0,1,0,0,0,0
155,0,0,0,0,1,0,0,0,0
156,0,0,0,0,1,0,0,0,0
157,0,0,0,0,1,0,0,0,0
158,0,0,0,0,1,0,0,0,0
159,0,0,0,0,1,0,0,0,0
160,0,0,0,0,1,0,0,0,0
161,0,0,0,0,1,0,0,0,0
162,0,0,0,0,1,0,0,0,0
163,0,0,0,0,1,0,0,0,0
164,0,0,0,0,1,0,0,0,0
165,0,0,0,0,1,0,0,0,0
166,0,0,0,0,1,0,0,0,0
167,0,0,0,0,1,0,0,0,0
168,0,0,0,0,1,0,0,0,0
169,0,0,0,0,1,0,0,0,0
170,1,0,0,0,1,0,0,0,0
171,1,0,0,0,1,0,0,0,0
172,1,0,0,0,1,0,0,0,0
173,1,0,0,0,1,0,0,0,0
174,1,0,0,0,1,0,0,0,0
175,1,0,0,0,1,0,0,0,0
176,1,0,0,0,1,0,0,0,0
177,1,0,0,0,1,0,0,0,0
178,1,0,1,0,1,0,0,0,0
179,1,0,1,0,1,0,0,0,0
180,1,0,1,0,1,0,0,0,0
181,1,0,1,0,0,0,0,0,0
182,1,0,1,0,0,0,0,0,0
183,1,0,1,0,0,0,0,0,0
184,1,0,1,0,0,0,0,0,0
185,1,0,1,0,0,0,0,0,0
186,1,0,1,0,0,0,0,0,0
187,1,0,1,0,0,0,0,0,0
188,1,0,1,0,0,0,0,0,0
189,1,0,1,0,0,0,0,0,0
190,1,0,1,0,0,0,0,0,0
191,1,0,1,0,0,0,0,0,0
192,1,0,1,0,0,0,0,0,0
193,1,0,1,0,0,0,0,0,0
194,1,0,1,0,0,0,0,0,0
195,1,0,1,0,0,0,0,0,0
196,1,0,1,0,0,0,0,0,0
197,1,0,1,0,0,0,0,0,0
198,1,0,1,0,0,0,0,0,0
199,1,0,1,0,0,0,0,0,0
200,1,0,1,0,0,0,0,0,0
201,1,0,1,0,0,0,0,0,0
202,1,0,1,0,0,0,0,0,0
203,1,0,1,0,0,0,0,0,0
204,1,0,1,0,0,0,0,0,0
205,1,0,1,0,0,0,0,0,0
206,1,0,1,0,0,0,0,0,0
207,1,0,1,0,0,0,0,0,0
208,1,0,1,0,0,0,0,0,0
209,1,0,1,0,0,0,0,0,0
210,1,0,1,0,0,0,0,0,0
211,1,0,1,0,0,0,0,0,0
212,0,0,1,0,0,0,0,0,0
213,0,0,1,0,0,0,0,0,0
214,0,0,1,0,0,0,0,0,0
215,0,0,1,0,0,0,0,0,0
216,0,0,1,0,0,0,0,0,0
217,0,0,1,0,0,0,0,0,0
218,0,0,1,0,0,0,0,0,0
219,0,0,1,0,0,0,0,0,0
220,0,0,1,0,0,0,0,0,0
221,0,0,1,0,0,0,0,0,0
222,0,0,1,0,0,0,0,0,0
223,0,0,1,0,0,0,0,0,0
224,0,0,1,0,0,0,0,0,0
225,0,0,1,0,0,0,0,0,0
226,0,0,1,0,0,0,0,0,0
227,0,0,1,0,0,0,0,0,0
228,0,0,1,0,0,0,0,0,0
229,0,0,1,0,0,0,0,0,0
230,0,0,1,0,0,0,0,0,0
231,0,0,1,0,0,0,0,0,0
232,0,0,1,0,0,0,0,0,0
233,0,0,1,0,0,0,0,0,0
234,0,0,1,0,0,0,0,0,0
235,0,0,1,0,0,0,0,0,0
236,0,0,1,0,0,0,0,0,0
237,0,0,1,0,0,0,0,0,0
238,0,0,1,0,0,0,0,0,0
239,0,0,1,0,0,0,0,0,0
240,0,0,1,0,0,0,0,0,0
241,0,0,1,0,0,0,0,0,0
242,0,0,1,0,0,0,0,0,0
243,0,0,1,0,0,0,0,0,0
244,0,0,1,0,0,0,0,0,0
245,0,0,1,0,0,0,0,0,0
246,0,0,1,0,0,0,0,0,0
247,0,0,1,0,0,0,0,0,0
248,0,0,1,0,0,0,0,0,0
249,0,0,1,0,0,0,0,0,0
250,0,0,1,0,0,0,0,0,0
251,0,0,1,0,0,0,0,0,0
252,0,0,1,0,0,0,0,0,0
253,0,0,1,0,0,0,0,0,0
254,0,0,1,0,0,0,0,0,0
255,0,0,1,0,0,0,0,0,0
256,0,0,1,0,0,0,0,0,0
257,0,0,1,0,0,0,0,0,0
258,0,0,1,0,0,0,0,0,0
259,0,0,1,0,0,0,0,0,0
260,0,0,1,0,0,0,0,0,0
261,0,0,1,0,0,0,0,0,0
262,0,0,1,0,0,0,0,0,0
263,0,0,1,0,0,0,0,0,0
264,0,0,1,0,0,0,0,0,0
265,0,0,1,0,0,0,0,0,0
266,0,0,1,0,0,0,0,0,0
267,0,0,1,0,0,0,0,0,0
268,0,0,1,0,0,0,0,0,0
269,0,0,1,0,0,0,0,0,0
270,0,0,1,0,0,0,0,0,0
271,1,0,1,0,0,0,0,0,0
272,1,0,1,0,0,0,0,0,0
273,1,0,1,0,0,0,0,0,0
274,1,0,1,0,0,0,0,0,0
275,1,0,1,0,0,0,0,0,0
276,1,0,1,0,0,0,0,0,0
277,1,0,1,0,0,0,0,0,0
278,1,0,1,0,0,0,0,0,0
279,1,0,1,0,0,0,0,0,0
280,1,0,1,0,0,0,0,0,0
281,1,0,1,0,0,0,0,0,0
282,1,0,1,0,0,0,0,0,0
283,1,0,1,0,0,0,0,0,0
284,1,0,1,0,0,0,0,0,0
285,1,0,1,0,0,0,0,0,0
286,1,0,1,0,0,0,0,0,0
287,1,0,1,0,0,0,0,0,0
288,1,0,1,0,0,0,0,0,0
289,1,0,1,0,0,0,0,0,0
290,1,0,1,0,0,0,0,0,0
291,1,0,1,0,0,0,0,0,0
292,1,0,1,0,0,0,0,0,0
293,1,0,1,0,0,0,0,0,0
294,1,0,1,0,0,0,0,0,0
295,1,0,1,0,0,0,0,0,0
296,1,0,1,0,0,0,0,0,0
297,1,0,1,0,0,0,0,0,0
298,1,0,1,0,0,0,0,0,0
299,1,0,1,0,0,0,0,0,0
300,1,0,1,0,0,0,0,0,0
301,1,0,1,0,0,0,0,0,0
302,1,0,1,0,0,0,0,0,0
303,1,0,1,0,0,0,0,0,0
304,1,0,1,0,0,0,0,0,0
305,1,0,1,0,0,0,0,0,0
306,1,0,1,0,0,0,0,0,0
307,1,0,1,0,0,0,0,0,0
308,1,0,1,0,0,0,0,0,0
309,1,0,1,0,0,0,0,0,0
310,1,0,1,0,0,0,0,0,0
311,1,0,1,0,0,0,0,0,0
312,1,0,1,0,0,0,0,0,0
313,1,0,1,0,0,0,0,0,0
314,1,0,1,0,0,0,0,0,0
315,1,0,1,0,0,0,0,0,0
316,1,0,1,0,0,0,0,0,0
317,0,0,1,0,0,0,0,0,0
318,0,0,1,0,0,0,0,0,0
319,0,0,1,0,0,0,0,0,0
320,0,0,1,0,0,0,0,0,0
321,0,0,1,0,0,0,0,0,0
322,0,0,1,0,0,0,0,0,0
323,0,0,1,0,0,0,0,0,0
324,0,0,1,0,0,0,0,0,0
325,0,0,1,0,0,0,0,0,0
326,0,0,1,0,0,0,0,0,0
327,0,0,1,0,0,0,0,0,0
328,0,0,1,0,0,0,0,0,0
329,0,0,1,0,0,0,0,0,0
330,0,0,1,0,0,0,0,0,0
331,0,0,1,0,0,0,0,0,0
332,0,0,1,0,0,0,0,0,0
333,0,0,1,0,0,0,0,0,0
334,0,0,1,0,0,0,0,0,0
335,0,0,1,0,0,0,0,0,0
336,0,0,1,0,0,0,0,0,0
337,0,0,1,0,0,0,0,0,0
338,0,0,1,0,0,0,0,0,0
339,0,0,1,0,0,0,0,0,0
340,0,0,1,0,0,0,0,0,0
341,0,0,1,0,0,0,0,0,0
342,0,0,1,0,0,0,0,0,0
343,0,0,1,0,0,0,0,0,0
344,0,0,1,0,0,0,0,0,0
345,0,0,1,0,0,0,0,0,0
346,0,0,1,0,0,0,0,0,0
347,0,0,1,0,0,0,0,0,0
348,1,0,1,0,0,0,0,0,0
349,1,0,1,0,0,0,0,0,0
350,1,0,1,0,0,0,0,0,0
351,1,0,1,0,0,0,0,0,0
352,1,0,1,0,0,0,0,0,0
353,1,0,1,0,0,0,0,0,0
354,1,0,1,0,0,0,0,0,0
355,1,0,1,0,0,0,0,0,0
356,1,0,1,0,0,0,0,0,0
357,1,0,1,0,0,0,0,0,0
358,1,0,1,0,0,0,0,0,0
359,1,0,1,0,0,0,0,0,0
360,1,0,1,0,0,0,0,0,0
361,1,0,1,0,0,0,0,0,0
362,1,0,1,0,0,0,0,0,0
363,1,0,1,0,0,0,0,0,0
364,1,0,1,0,0,0,0,0,0
365,1,0,1,0,0,0,0,0,0
366,1,0,1,0,0,0,0,0,0
367,1,0,1,0,0,0,0,0,0
368,1,0,1,0,0,0,0,0,0
369,1,0,1,0,0,0,0,0,0
370,1,0,1,0,0,0,0,0,0
371,1,0,1,0,0,0,0,0,0
372,1,0,1,0,0,0,0,0,0
373,1,0,1,0,0,0,0,0,0
374,1,0,1,0,0,0,0,0,0
375,1,0,1,0,0,0,0,0,0
376,0,0,1,0,0,0,0,0,0
377,0,0,1,0,0,0,0,0,0
378,0,0,1,0,0,0,0,0,0
379,0,0,1,0,0,0,0,0,0
380,0,0,1,0,0,0,0,0,0
381,0,0,1,0,0,0,0,0,0
382,0,0,1,0,0,0,0,0,0
383,0,0,1,0,0,0,0,0,0
384,0,0,1,0,0,0,0,0,0
385,0,0,1,0,0,0,0,0,0
386,0,0,1,0,0,0,0,0,0
387,0,0,1,0,0,0,0,0,0
388,0,0,1,0,0,0,0,0,0
389,0,0,1,0,0,0,0,0,0
390,0,0,1,0,0,0,0,0,0
391,0,0,1,0,0,0,0,0,0
392,0,0,1,0,0,0,0,0,0
393,0,0,1,0,0,0,0,0,0
394,0,0,1,0,0,0,0,0,0
395,0,0,1,0,0,0,0,0,0
396,0,0,1,0,0,0,0,0,0
397,0,0,1,0,0,0,0,0,0
398,1,0,1,0,0,0,0,0,0
399,1,0,1,0,0,0,0,0,0
400,1,0,1,0,0,0,0,0,0
401,1,0,1,0,0,0,0,0,0
402,1,0,1,0,0,0,0,0,0
403,1,0,1,0,0,0,0,0,0
404,1,0,1,0,0,0,0,0,0
405,1,0,1,0,0,0,0,0,0
406,1,0,1,0,0,0,0,0,0
407,1,0,1,0,0,0,0,0,0
408,1,0,1,0,0,0,0,0,0
409,1,0,1,0,0,0,0,0,0
410,1,0,1,0,0,0,0,0,0
411,1,0,1,0,0,0,0,0,0
412,1,0,1,0,0,0,0,0,0
413,1,0,1,0,0,0,0,0,0
414,1,0,1,0,0,0,0,0,0
415,1,0,1,0,0,0,0,0,0
416,1,0,1,0,0,0,0,0,0
417,1,0,1,0,0,0,0,0,0
418,1,0,1,0,0,0,0,0,0
419,1,0,1,0,0,0,0,0,0
420,1,0,1,0,0,0,0,0,0
421,1,0,1,0,0,0,0,0,0
422,0,0,1,0,0,0,0,0,0
423,0,0,1,0,0,0,0,0,0
424,0,0,1,0,0,0,0,0,0
425,0,0,1,0,0,0,0,0,0
426,0,0,1,0,0,0,0,0,0
427,0,0,1,0,0,0,0,0,0
428,0,0,1,0,0,0,0,0,0
429,0,0,1,0,0,0,0,0,0
430,0,0,1,0,0,0,0,0,0
431,0,0,1,0,0,0,0,0,0
432,0,0,1,0,0,0,0,0,0
433,1,0,1,0,0,0,0,0,0
434,1,0,1,0,0,0,0,0,0
435,1,0,1,0,0,0,0,0,0
436,1,0,1,0,0,0,0,0,0
437,1,0,1,0,0,0,0,0,0
438,1,0,1,0,0,0,0,0,0
439,1,0,1,0,0,0,0,0,0
440,1,0,1,0,0,0,0,0,0
441,1,0,1,0,0,0,0,0,0
442,1,0,1,0,0,0,0,0,0
443,1,0,1,0,0,0,0,0,0
444,1,0,1,0,0,0,0,0,0
445,1,0,1,0,0,0,0,0,0
446,1,0,1,0,0,0,0,0,0
447,1,0,1,0,0,0,0,0,0
448,1,0,1,0,0,0,0,0,0
449,1,0,1,0,0,0,0,0,0
450,1,0,1,0,0,0,0,0,0
451,1,0,1,0,0,0,0,0,0
452,1,0,1,0,0,0,0,0,0
453,1,0,1,0,0,0,0,0,0
454,1,0,1,0,0,0,0,0,0
455,1,0,1,0,0,0,0,0,0
456,0,0,1,0,0,0,0,0,0
457,0,0,1,0,0,0,0,0,0
458,0,0,1,0,0,0,0,0,0
459,0,0,1,0,0,0,0,0,0
460,0,0,1,0,0,0,0,0,0
461,0,0,1,0,0,0,0,0,0
462,0,0,1,0,0,0,0,0,0
463,0,0,1,0,0,0,0,0,0
464,0,0,1,0,0,0,0,0,0
465,0,0,1,0,0,0,0,0,0
466,0,0,1,0,0,0,0,0,0
467,0,0,1,0,0,0,0,0,0
468,0,0,1,0,0,0,0,0,0
469,0,0,1,0,0,0,0,0,0
470,0,1,1,0,0,0,0,0,0
471,0,1,1,0,0,0,0,0,0
472,0,1,1,0,0,0,0,0,0
473,0,1,1,0,0,0,0,0,0
474,0,1,1,0,0,0,0,0,0
475,0,1,1,0,0,0,0,0,0
476,0,1,1,0,0,0,0,0,0
477,0,1,1,0,0,0,0,0,0
478,0,1,1,0,0,0,0,0,0
479,0,1,1,0,0,0,0,0,0
480,0,1,1,0,0,0,0,0,0
481,0,1,1,0,0,0,0,0,0
482,0,1,1,0,0,0,0,0,0
483,0,1,1,0,0,0,0,0,0
484,0,1,1,0,0,0,0,0,0
485,0,1,1,0,0,0,0,0,0
486,0,1,1,0,0,0,0,0,0
487,0,1,1,0,0,0,0,0,0
488,0,1,1,0,0,0,0,0,0
489,0,1,1,0,0,0,0,0,0
490,0,1,1,0,0,0,0,0,0
491,0,1,1,0,0,0,0,0,0
492,0,1,1,0,0,0,0,0,0
493,0,1,1,0,0,0,0,0,0
494,0,1,1,0,0,0,0,0,0
495,0,1,1,0,0,0,0,0,0
496,0,1,1,0,0,0,0,0,0
497,0,1,1,0,0,0,0,0,0
498,0,1,1,0,0,0,0,0,0
499,0,1,1,0,0,0,0,0,0
500,0,1,1,0,0,0,0,0,0
501,0,1,1,0,0,0,0,0,0
502,0,1,1,0,0,0,0,0,0
503,0,1,1,0,0,0,0,0,0
504,0,1,1,0,0,0,0,0,0
505,0,1,1,0,0,0,0,0,0
506,1,1,1,0,0,0,0,0,0
507,1,1,1,0,0,0,0,0,0
508,1,1,1,0,0,0,0,0,0
509,1,1,1,0,0,0,0,0,0
510,1,1,1,0,0,0,0,0,0
511,1,1,1,0,0,0,0,0,0
512,1,1,1,0,0,0,0,0,0
513,1,1,1,0,0,0,0,0,0
514,1,1,1,0,0,0,0,0,0
515,1,1,1,0,0,0,0,0,0
516,1,1,1,0,0,0,0,0,0
517,1,1,1,0,0,0,0,0,0
518,1,1,1,0,0,0,0,0,0
519,1,1,1,0,0,0,0,0,0
520,1,1,1,0,0,0,0,0,0
521,1,1,1,0,0,0,0,0,0
522,1,1,1,0,0,0,0,0,0
523,1,1,1,0,0,0,0,0,0
524,1,1,1,0,0,0,0,0,0
525,1,1,1,0,0,0,0,0,0
526,1,1,1,0,0,0,0,0,0
527,1,1,1,0,0,0,0,0,0
528,1,1,1,0,0,0,0,0,0
529,1,1,1,0,0,0,0,0,0
530,1,1,1,0,0,0,0,0,0
531,1,1,1,0,0,0,0,0,0
532,1,1,1,0,0,0,0,0,0
533,1,1,1,0,0,0,0,0,0
534,1,1,1,0,0,0,0,0,0
535,1,1,1,0,0,0,0,0,0
536,1,1,1,0,0,0,0,0,0
537,1,1,1,0,0,0,0,0,0
538,1,1,1,0,0,0,0,0,0
539,1,1,1,0,0,0,0,0,0
540,1,1,1,0,0,0,0,0,0
541,1,1,1,0,0,0,0,0,0
542,1,1,1,0,0,0,0,0,0
543,1,1,1,0,0,0,0,0,0
544,0,1,1,0,0,0,0,0,0
545,0,1,1,0,0,0,0,0,0
546,0,1,1,0,0,0,0,0,0
547,0,1,1,0,0,0,0,0,0
548,0,1,1,0,0,0,0,0,0
549,0,1,1,0,0,0,0,0,0
550,0,1,1,0,0,0,0,0,0
551,0,1,1,0,1,0,0,1,0
552,0,0,1,0,1,0,0,1,0
553,0,0,1,0,1,0,0,1,0
554,0,0,1,0,1,0,0,1,0
555,0,0,1,0,1,0,0,1,0
556,0,0,1,0,1,0,0,1,0
557,0,0,1,0,1,0,0,1,0
558,0,0,1,0,1,0,0,1,0
559,0,0,1,0,1,0,0,1,0
560,0,0,1,0,1,0,0,1,0
561,0,0,1,0,1,0,0,1,0
562,0,0,1,0,1,0,0,1,0
563,0,0,1,0,1,0,0,1,0
564,0,0,1,0,1,0,0,1,0
565,0,0,1,0,1,0,0,1,0
566,0,0,1,0,1,0,0,1,0
567,0,0,1,0,1,0,0,1,0
568,0,0,1,0,1,0,0,1,0
569,0,0,1,0,1,0,0,1,0
570,0,0,1,0,1,0,0,1,0
571,0,0,1,0,1,0,0,1,0
572,1,0,1,0,1,0,0,1,0
573,1,0,1,0,1,0,0,1,0
574,1,0,1,0,1,0,0,1,0
575,1,0,1,0,1,0,0,1,0
576,1,0,1,0,1,0,0,1,0
577,1,0,1,0,1,0,0,1,0
578,1,0,1,0,1,0,0,1,0
579,1,0,1,0,1,0,0,1,0
580,1,0,1,0,1,0,0,1,0
581,1,0,1,0,1,0,0,1,0
582,1,0,1,0,1,0,0,1,0
583,1,0,1,0,1,0,0,1,0
584,1,0,1,0,1,0,0,1,0
585,0,0,1,0,1,0,0,1,0
586,0,0,1,0,1,0,0,1,0
587,0,0,1,0,1,0,0,1,0
588,0,0,1,0,1,0,0,1,0
589,0,0,1,0,1,0,0,1,0
590,0,0,1,0,1,0,0,1,0
591,0,0,1,0,1,0,0,1,0
592,0,0,1,0,1,0,0,1,0
593,0,0,1,0,1,0,0,1,0
594,0,0,1,0,1,0,0,1,0
595,0,0,1,0,1,0,0,1,0
596,0,0,0,0,1,0,0,1,0
597,0,0,0,0,1,1,0,1,1
598,0,0,0,0,1,1,0,1,1
599,0,0,0,0,1,1,0,1,1
600,0,0,0,0,1,1,0,1,1
601,0,0,0,0,1,1,0,1,1
